Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
MMR005290,4/4/2021,Time Unknown,Myanmar,Probable, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,Mobile Clinic,,0,9,0,0,0,0
MMR005193,4/3/2021,Time Unknown,Myanmar,Possible, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
SDN005288,4/3/2021,00:00-06:00,Sudan,Confirmed," Assault (without weapons), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",6,0,YES,NO,NO,YES,NO,NO,,Tertiary,,0,0,0,0,0,0
MMR005197,4/3/2021,18:00-00:00,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Assault (without weapons), Psychological violence/threat of violence/intimidation",0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
MMR005196,4/3/2021,18:00-00:00,Myanmar,Confirmed," Psychological violence/threat of violence/intimidation, Setting fire",0,0,NO,NO,YES,NO,NO,NO,"Leader of civil disobedient movement (Minister of Health, Committee Representing Pyithu Hluttaw)",,,0,0,0,0,0,0
MMR005192,4/3/2021,11:00,Myanmar,Probable, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
MMR005191,4/3/2021,04:30,Myanmar,Probable, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
MMR005194,4/2/2021,12:00-18:00,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,NO,NO,YES,NO,NO,NO,,,,0,0,1,0,0,0
AFG005374,4/1/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,NO,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005275,3/31/2021,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,3,0,0,0,0
CAF005188,3/31/2021,12:30,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,YES,YES,NO,NO,,Primary,,0,0,0,0,0,0
MMR005177,3/30/2021,06:00-12:00,Myanmar,Possible," Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
AFG005268,3/30/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,4,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005190,3/30/2021,18:00-00:00,Myanmar,Possible, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,4,0,0,0,0
AFG005267,3/30/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005266,3/30/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
MMR005181,3/30/2021,Time Unknown,Myanmar,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,YES,YES,NO,NO,,Primary,,0,4,0,0,0,0
AFG005265,3/30/2021,10:30,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,2,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005175,3/29/2021,21:00,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",24,0,NO,YES,NO,NO,NO,YES,,,,0,0,0,0,0,0
MMR005174,3/28/2021,Time Unknown,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,NO,YES,NO,NO,NO,YES,,,,0,0,0,0,0,0
MMR005173,3/28/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005154,3/28/2021,12:55,Myanmar,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,YES,NO,YES,NO,NO,YES,,Tertiary,,0,0,0,0,0,0
MMR005172,3/27/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005148,3/27/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005170,3/27/2021,Time Unknown,Myanmar,Possible," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005157,3/27/2021,Time Unknown,Myanmar,Possible, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
MMR005142,3/26/2021,Time Unknown,Myanmar,Confirmed," Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Tertiary,,0,0,0,0,0,0
MMR005140,3/26/2021,12:00-18:00,Myanmar,Possible," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",10,4,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
MMR005156,3/26/2021,09:30,Myanmar,Probable, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,NO,NO,NO,YES,,,,0,0,0,0,4,0
MMR005139,3/25/2021,21:50,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,YES,NO,NO,NO,NO,YES,,Tertiary,,0,0,0,0,0,0
MMR005264,3/25/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
CAF005959,3/25/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
MMR005187,3/25/2021,11:00,Myanmar,Confirmed," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,YES,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
MMR005138,3/24/2021,20:20,Myanmar,Probable," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",5,1,NO,YES,YES,NO,NO,YES,Red Cross volunteers,,,0,0,0,0,0,0
oPt005171,3/24/2021,13:20,occupied Palestinian territories,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,Secondary,,0,0,0,0,0,0
MMR005186,3/24/2021,Time Unknown,Myanmar,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,YES,NO,YES,NO,NO,NO,the office which manages health operations,Other,the office,0,1,0,0,0,0
MMR005158,3/24/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005119,3/22/2021,Time Unknown,Myanmar,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Other,University of Medicine 1 ,0,0,0,0,0,0
CAF005868,3/22/2021,Time Unknown,Central African Republic,Confirmed," Psychological violence/threat of violence/intimidation, Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",3,0,NO,YES,YES,NO,NO,NO,,Other,Mission de supervision,0,0,0,0,0,0
MMR005179,3/22/2021,Time Unknown,Myanmar,Probable, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
CAF006036,3/21/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,NO,NO,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
oPt005131,3/21/2021,18:30,occupied Palestinian territories,Confirmed, Assault (without weapons),0,0,YES,NO,YES,YES,NO,NO,,Tertiary,,0,0,0,0,0,0
MMR005150,3/21/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
SYR005109,3/21/2021,08:55,Syrian Arab Republic,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",15,6,YES,YES,YES,YES,YES,YES,,Secondary,,0,0,0,0,0,0
MMR005114,3/21/2021,08:00,Myanmar,Possible, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,Unknown,YES,Unknown,Unknown,NO,,,,0,3,0,0,0,0
SYR005115,3/20/2021,12:15,Syrian Arab Republic,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",6,3,NO,NO,YES,YES,YES,NO,,Warehouse,,0,0,0,0,0,0
MMR005117,3/18/2021,20:15,Myanmar,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,NO,NO,YES,,Secondary,,0,0,0,0,0,0
MMR005122,3/18/2021,Time Unknown,Myanmar,Confirmed,Other,0,0,NO,NO,NO,NO,NO,NO,University of Medicine,Other,University of Medicine,0,0,0,0,0,0
MMR005155,3/18/2021,18:00-00:00,Myanmar,Possible," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,,,0,0,0,0,0,0
CAF005880,3/18/2021,Time Unknown,Central African Republic,Confirmed, Militarization of a health care asset,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
BFA005136,3/18/2021,13:00,Burkina Faso,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,5,NO,YES,YES,YES,NO,NO,,Other,Transport d'intrants (médicaments),5,0,0,0,0,0
MMR005161,3/17/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,YES,YES,NO,NO,NO,,Other,place(s) of injury treatment,0,0,3,0,0,0
MMR005125,3/16/2021,18:00-00:00,Myanmar,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,NO,NO,NO,NO,,Other,Ambulance,0,0,0,0,0,0
CAF005103,3/16/2021,08:00,Central African Republic,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,YES,YES,NO,NO,,Primary,,0,5,0,0,0,0
NGA005102,3/16/2021,07:30,Nigeria,Confirmed," Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
MLI005107,3/15/2021,07:45,Mali,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation",0,0,NO,YES,YES,YES,NO,NO,,Primary,,6,0,6,0,0,0
MMR005120,3/14/2021,18:00-00:00,Myanmar,Confirmed," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,YES,NO,NO,YES,,Secondary,,0,0,0,0,0,0
MMR005145,3/14/2021,Time Unknown,Myanmar,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,NO,YES,YES,NO,NO,YES,,,,0,0,0,0,0,0
MMR005093,3/13/2021,Time Unknown,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Assault (without weapons)",0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
MMR005144,3/13/2021,Time Unknown,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,YES,NO,NO,NO,YES,,,,0,0,0,0,0,0
oPt005185,3/13/2021,11:25,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,NO,NO,NO,YES,,Secondary,,0,0,0,0,0,0
MMR005263,3/12/2021,Time Unknown,Myanmar,Possible," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005262,3/12/2021,Time Unknown,Myanmar,Possible," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005261,3/12/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005164,3/12/2021,10:35,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",1,0,NO,NO,NO,NO,NO,YES,,,,0,0,0,0,0,0
MMR005163,3/12/2021,Time Unknown,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,YES,NO,YES,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005146,3/11/2021,Time Unknown,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",1,0,NO,YES,YES,NO,NO,YES,,,,0,0,0,0,0,0
MMR005110,3/10/2021,18:00-00:00,Myanmar,Possible," Abduction/Arrest/Detention of health personnel or patients, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,NO,YES,YES,NO,NO,NO,,Other,,0,2,0,0,0,0
CAF005867,3/10/2021,Time Unknown,Central African Republic,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,YES,NO,YES,NO,NO,,Other,Avion de transport des intrants médicaux d'une ONGI médicale,0,0,0,0,0,0
MMR005260,3/9/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005243,3/9/2021,14:55,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
SDN005090,3/9/2021,Time Unknown,Sudan,Confirmed," Armed or violent search of health care personnel, facility or transport, Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,NO,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
MMR005089,3/9/2021,12:00-18:00,Myanmar,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
MMR005259,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005258,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005257,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005253,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005254,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005255,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005250,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005251,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005252,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005249,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005247,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005248,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005246,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005245,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005244,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005242,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005240,3/8/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005241,3/8/2021,Time Unknown,Myanmar,Possible," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005239,3/8/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005238,3/8/2021,Time Unknown,Myanmar,Probable, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005236,3/8/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005237,3/8/2021,Time Unknown,Myanmar,Probable, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005235,3/8/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005234,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005231,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005232,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005233,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005229,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005230,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005228,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005226,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005227,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005225,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005224,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005223,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005221,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005222,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005219,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005220,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005218,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005217,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005216,3/8/2021,Time Unknown,Myanmar,Confirmed," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005215,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005214,3/8/2021,Time Unknown,Myanmar,Confirmed, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005213,3/8/2021,Time Unknown,Myanmar,Possible," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005212,3/8/2021,Time Unknown,Myanmar,Possible," Militarization of a health care asset, Psychological violence/threat of violence/intimidation",0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005211,3/8/2021,Time Unknown,Myanmar,Possible, Psychological violence/threat of violence/intimidation,0,0,YES,NO,NO,NO,NO,YES,,Primary,,0,0,0,0,0,0
MMR005088,3/8/2021,12:30,Myanmar,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
MMR005165,3/8/2021,Time Unknown,Myanmar,Probable, Militarization of a health care asset,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
oPt005128,3/8/2021,03:40,occupied Palestinian territories,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Militarization of a health care asset",0,0,YES,NO,YES,NO,NO,NO,,Other,,0,1,1,0,0,0
MMR005085,3/7/2021,06:00-12:00,Myanmar,Possible," Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
MMR005166,3/7/2021,Time Unknown,Myanmar,Confirmed," Armed or violent search of health care personnel, facility or transport, Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,YES,NO,NO,YES,,Primary,,0,0,0,0,0,0
CAF005094,3/7/2021,Time Unknown,Central African Republic,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,YES,YES,YES,NO,,Secondary,,0,0,0,0,0,0
YEM005533,3/6/2021,10:00,Yemen,Probable," Armed or violent search of health care personnel, facility or transport, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,YES,NO,YES,,Primary,,0,0,0,0,0,0
SYR005726,3/5/2021,20:20,Syrian Arab Republic,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",8,0,YES,NO,YES,YES,NO,NO,,Tertiary,,0,8,0,0,0,0
